S_No,Location,City,Zone_Type,Year,Month,Month_Name,Noise_Day_dB,Noise_Night_dB,Base_2019_Day_dB,Base_2019_Night_dB,Zone_Category
1,Guindy,Chennai,Industrial,2020,1,Jan,66.85,61.14,72.0,65.5,High
1,Guindy,Chennai,Industrial,2020,2,Feb,67.12,62.01,72.0,65.5,High
1,Guindy,Chennai,Industrial,2020,3,Mar,67.38,61.71,72.0,65.5,High
1,Guindy,Chennai,Industrial,2020,4,Apr,68.59,62.31,72.0,65.5,High
1,Guindy,Chennai,Industrial,2020,5,May,67.77,62.42,72.0,65.5,High
1,Guindy,Chennai,Industrial,2020,6,Jun,67.47,61.81,72.0,65.5,High
1,Guindy,Chennai,Industrial,2020,7,Jul,67.52,61.03,72.0,65.5,High
1,Guindy,Chennai,Industrial,2020,8,Aug,66.34,61.38,72.0,65.5,High
1,Guindy,Chennai,Industrial,2020,9,Sep,66.59,61.73,72.0,65.5,High
1,Guindy,Chennai,Industrial,2020,10,Oct,66.25,60.74,72.0,65.5,High
1,Guindy,Chennai,Industrial,2020,11,Nov,67.13,61.01,72.0,65.5,High
1,Guindy,Chennai,Industrial,2020,12,Dec,66.53,60.53,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,1,Jan,68.83,63.24,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,2,Feb,68.72,63.55,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,3,Mar,69.7,63.68,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,4,Apr,70.0,64.74,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,5,May,70.49,63.78,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,6,Jun,70.61,63.51,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,7,Jul,70.0,63.02,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,8,Aug,69.04,63.68,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,9,Sep,69.97,63.67,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,10,Oct,69.14,63.18,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,11,Nov,68.16,62.81,72.0,65.5,High
1,Guindy,Chennai,Industrial,2021,12,Dec,68.77,63.52,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,1,Jan,72.57,64.99,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,2,Feb,72.76,65.75,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,3,Mar,72.96,66.54,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,4,Apr,74.12,66.87,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,5,May,73.38,66.58,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,6,Jun,73.67,66.89,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,7,Jul,72.96,66.23,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,8,Aug,72.45,65.62,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,9,Sep,73.31,66.64,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,10,Oct,72.46,66.2,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,11,Nov,72.38,65.34,72.0,65.5,High
1,Guindy,Chennai,Industrial,2022,12,Dec,72.48,66.22,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,1,Jan,73.08,66.83,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,2,Feb,71.99,66.73,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,3,Mar,74.04,66.68,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,4,Apr,74.35,66.2,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,5,May,74.39,67.34,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,6,Jun,74.94,66.79,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,7,Jul,73.5,66.6,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,8,Aug,74.16,66.73,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,9,Sep,73.34,66.81,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,10,Oct,73.25,66.69,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,11,Nov,72.55,65.97,72.0,65.5,High
1,Guindy,Chennai,Industrial,2023,12,Dec,72.8,65.51,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,1,Jan,73.75,66.8,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,2,Feb,73.8,66.81,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,3,Mar,73.79,67.13,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,4,Apr,74.63,67.18,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,5,May,74.92,67.86,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,6,Jun,75.64,67.57,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,7,Jul,74.53,67.27,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,8,Aug,73.24,67.09,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,9,Sep,74.13,68.09,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,10,Oct,73.6,66.92,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,11,Nov,73.38,66.13,72.0,65.5,High
1,Guindy,Chennai,Industrial,2024,12,Dec,74.07,66.9,72.0,65.5,High
2,Perambur,Chennai,Commercial,2020,1,Jan,72.0,62.34,78.5,68.0,High
2,Perambur,Chennai,Commercial,2020,2,Feb,72.5,62.34,78.5,68.0,High
2,Perambur,Chennai,Commercial,2020,3,Mar,72.79,64.18,78.5,68.0,High
2,Perambur,Chennai,Commercial,2020,4,Apr,72.3,63.27,78.5,68.0,High
2,Perambur,Chennai,Commercial,2020,5,May,73.05,63.5,78.5,68.0,High
2,Perambur,Chennai,Commercial,2020,6,Jun,71.92,63.53,78.5,68.0,High
2,Perambur,Chennai,Commercial,2020,7,Jul,71.87,63.49,78.5,68.0,High
2,Perambur,Chennai,Commercial,2020,8,Aug,71.74,63.72,78.5,68.0,High
2,Perambur,Chennai,Commercial,2020,9,Sep,71.71,62.97,78.5,68.0,High
2,Perambur,Chennai,Commercial,2020,10,Oct,72.11,62.31,78.5,68.0,High
2,Perambur,Chennai,Commercial,2020,11,Nov,71.51,63.12,78.5,68.0,High
2,Perambur,Chennai,Commercial,2020,12,Dec,70.7,62.67,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,1,Jan,75.23,65.51,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,2,Feb,74.68,64.87,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,3,Mar,76.26,65.92,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,4,Apr,76.43,66.14,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,5,May,76.16,66.29,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,6,Jun,76.35,65.71,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,7,Jul,76.83,65.99,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,8,Aug,75.1,65.86,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,9,Sep,75.11,65.91,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,10,Oct,75.78,64.97,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,11,Nov,75.38,65.27,78.5,68.0,High
2,Perambur,Chennai,Commercial,2021,12,Dec,75.41,65.86,78.5,68.0,High
2,Perambur,Chennai,Commercial,2022,1,Jan,78.98,68.2,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2022,2,Feb,78.86,68.37,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2022,3,Mar,79.96,69.24,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2022,4,Apr,80.44,69.63,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2022,5,May,80.51,70.08,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2022,6,Jun,80.07,70.39,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2022,7,Jul,80.21,68.76,78.5,68.0,Critical
