S_No,Location,Zone_Type,Year,Month,Month_Name,Noise_Day_dB,Noise_Night_dB,Base_2008_Day_dB,Base_2008_Night_dB,Zone_Category
1,Adarsh Nagar,Residential,2020,1,Jan,68.39,58.37,61.71,52.39,High
1,Adarsh Nagar,Residential,2020,2,Feb,68.65,58.97,61.71,52.39,High
1,Adarsh Nagar,Residential,2020,3,Mar,68.8,58.74,61.71,52.39,High
1,Adarsh Nagar,Residential,2020,4,Apr,69.82,59.24,61.71,52.39,High
1,Adarsh Nagar,Residential,2020,5,May,69.3,59.37,61.71,52.39,High
1,Adarsh Nagar,Residential,2020,6,Jun,69.5,59.27,61.71,52.39,High
1,Adarsh Nagar,Residential,2020,7,Jul,69.59,58.74,61.71,52.39,High
1,Adarsh Nagar,Residential,2020,8,Aug,68.5,58.94,61.71,52.39,High
1,Adarsh Nagar,Residential,2020,9,Sep,68.58,59.0,61.71,52.39,High
1,Adarsh Nagar,Residential,2020,10,Oct,68.83,58.69,61.71,52.39,High
1,Adarsh Nagar,Residential,2020,11,Nov,69.48,58.74,61.71,52.39,High
1,Adarsh Nagar,Residential,2020,12,Dec,68.42,58.08,61.71,52.39,High
1,Adarsh Nagar,Residential,2021,1,Jan,69.97,59.94,61.71,52.39,High
1,Adarsh Nagar,Residential,2021,2,Feb,69.93,60.12,61.71,52.39,High
1,Adarsh Nagar,Residential,2021,3,Mar,70.65,60.22,61.71,52.39,High
1,Adarsh Nagar,Residential,2021,4,Apr,70.95,61.07,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2021,5,May,71.48,60.39,61.71,52.39,High
1,Adarsh Nagar,Residential,2021,6,Jun,72.02,60.54,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2021,7,Jul,71.57,60.22,61.71,52.39,High
1,Adarsh Nagar,Residential,2021,8,Aug,70.66,60.67,61.71,52.39,High
1,Adarsh Nagar,Residential,2021,9,Sep,71.29,60.46,61.71,52.39,High
1,Adarsh Nagar,Residential,2021,10,Oct,71.14,60.52,61.71,52.39,High
1,Adarsh Nagar,Residential,2021,11,Nov,70.3,60.09,61.71,52.39,High
1,Adarsh Nagar,Residential,2021,12,Dec,70.21,60.33,61.71,52.39,High
1,Adarsh Nagar,Residential,2022,1,Jan,72.53,60.98,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2022,2,Feb,72.72,61.49,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2022,3,Mar,72.82,62.09,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2022,4,Apr,73.8,62.39,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2022,5,May,73.35,62.22,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2022,6,Jun,74.02,62.8,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2022,7,Jul,73.5,62.35,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2022,8,Aug,72.95,61.85,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2022,9,Sep,73.52,62.42,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2022,10,Oct,73.36,62.51,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2022,11,Nov,73.23,61.72,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2022,12,Dec,72.73,62.07,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,1,Jan,72.98,62.48,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,2,Feb,72.14,62.36,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,3,Mar,73.72,62.32,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,4,Apr,74.03,62.01,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,5,May,74.2,62.92,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,6,Jun,75.08,62.85,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,7,Jul,73.97,62.76,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,8,Aug,74.36,62.81,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,9,Sep,73.58,62.66,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,10,Oct,74.03,63.0,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,11,Nov,73.41,62.31,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2023,12,Dec,73.03,61.67,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,1,Jan,73.81,62.49,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,2,Feb,73.89,62.44,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,3,Mar,73.82,62.68,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,4,Apr,74.55,62.77,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,5,May,74.93,63.33,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,6,Jun,75.94,63.46,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,7,Jul,75.09,63.29,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,8,Aug,73.92,63.1,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,9,Sep,74.51,63.65,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,10,Oct,74.61,63.2,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,11,Nov,74.38,62.46,61.71,52.39,Critical
1,Adarsh Nagar,Residential,2024,12,Dec,74.35,62.74,61.71,52.39,Critical
2,Anand Vihar,Commercial,2020,1,Jan,66.38,59.17,62.45,54.96,High
2,Anand Vihar,Commercial,2020,2,Feb,66.82,59.12,62.45,54.96,High
2,Anand Vihar,Commercial,2020,3,Mar,66.99,60.5,62.45,54.96,High
2,Anand Vihar,Commercial,2020,4,Apr,66.66,59.87,62.45,54.96,High
2,Anand Vihar,Commercial,2020,5,May,67.4,60.09,62.45,54.96,High
2,Anand Vihar,Commercial,2020,6,Jun,66.94,60.46,62.45,54.96,High
2,Anand Vihar,Commercial,2020,7,Jul,66.94,60.48,62.45,54.96,High
2,Anand Vihar,Commercial,2020,8,Aug,66.69,60.6,62.45,54.96,High
2,Anand Vihar,Commercial,2020,9,Sep,66.55,59.84,62.45,54.96,High
2,Anand Vihar,Commercial,2020,10,Oct,67.39,59.77,62.45,54.96,High
2,Anand Vihar,Commercial,2020,11,Nov,66.85,60.23,62.45,54.96,High
2,Anand Vihar,Commercial,2020,12,Dec,65.62,59.6,62.45,54.96,High
2,Anand Vihar,Commercial,2021,1,Jan,69.66,62.17,62.45,54.96,High
2,Anand Vihar,Commercial,2021,2,Feb,69.27,61.64,62.45,54.96,High
2,Anand Vihar,Commercial,2021,3,Mar,70.47,62.43,62.45,54.96,Critical
2,Anand Vihar,Commercial,2021,4,Apr,70.66,62.64,62.45,54.96,Critical
2,Anand Vihar,Commercial,2021,5,May,70.59,62.81,62.45,54.96,Critical
2,Anand Vihar,Commercial,2021,6,Jun,71.18,62.73,62.45,54.96,Critical
2,Anand Vihar,Commercial,2021,7,Jul,71.61,62.98,62.45,54.96,Critical
2,Anand Vihar,Commercial,2021,8,Aug,70.08,62.84,62.45,54.96,Critical
2,Anand Vihar,Commercial,2021,9,Sep,69.97,62.68,62.45,54.96,Critical
2,Anand Vihar,Commercial,2021,10,Oct,71.02,62.39,62.45,54.96,Critical
2,Anand Vihar,Commercial,2021,11,Nov,70.65,62.46,62.45,54.96,Critical
2,Anand Vihar,Commercial,2021,12,Dec,70.09,62.61,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,1,Jan,73.46,64.51,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,2,Feb,73.4,64.6,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,3,Mar,74.23,65.24,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,4,Apr,74.67,65.59,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,5,May,74.87,65.98,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,6,Jun,74.95,66.56,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,7,Jul,75.11,65.38,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,8,Aug,74.13,65.58,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,9,Sep,74.27,65.45,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,10,Oct,74.75,65.42,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,11,Nov,73.92,64.69,62.45,54.96,Critical
2,Anand Vihar,Commercial,2022,12,Dec,73.58,65.1,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,1,Jan,74.65,65.07,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,2,Feb,74.83,65.66,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,3,Mar,74.91,65.89,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,4,Apr,75.58,65.7,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,5,May,76.0,66.41,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,6,Jun,76.49,66.76,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,7,Jul,75.31,66.06,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,8,Aug,75.77,66.29,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,9,Sep,75.57,67.1,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,10,Oct,75.79,66.48,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,11,Nov,75.64,66.04,62.45,54.96,Critical
2,Anand Vihar,Commercial,2023,12,Dec,74.63,65.77,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,1,Jan,75.25,66.17,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,2,Feb,75.57,66.36,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,3,Mar,77.19,66.08,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,4,Apr,76.83,66.36,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,5,May,76.67,67.37,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,6,Jun,77.09,66.92,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,7,Jul,76.57,67.34,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,8,Aug,76.27,67.0,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,9,Sep,76.38,66.54,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,10,Oct,77.42,67.13,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,11,Nov,75.45,66.7,62.45,54.96,Critical
2,Anand Vihar,Commercial,2024,12,Dec,75.5,66.6,62.45,54.96,Critical
3,Ashok Vihar,Residential,2020,1,Jan,66.93,59.66,60.91,53.47,High
3,Ashok Vihar,Residential,2020,2,Feb,67.65,60.05,60.91,53.47,High
3,Ashok Vihar,Residential,2020,3,Mar,67.47,59.99,60.91,53.47,High
3,Ashok Vihar,Residential,2020,4,Apr,68.06,60.09,60.91,53.47,High
3,Ashok Vihar,Residential,2020,5,May,69.26,60.61,60.91,53.47,High
3,Ashok Vihar,Residential,2020,6,Jun,68.25,60.97,60.91,53.47,High
3,Ashok Vihar,Residential,2020,7,Jul,69.4,60.9,60.91,53.47,High
3,Ashok Vihar,Residential,2020,8,Aug,67.64,60.24,60.91,53.47,High
3,Ashok Vihar,Residential,2020,9,Sep,68.56,59.98,60.91,53.47,High
3,Ashok Vihar,Residential,2020,10,Oct,68.43,60.62,60.91,53.47,High
3,Ashok Vihar,Residential,2020,11,Nov,67.58,60.07,60.91,53.47,High
3,Ashok Vihar,Residential,2020,12,Dec,66.15,59.48,60.91,53.47,High
3,Ashok Vihar,Residential,2021,1,Jan,69.15,60.82,60.91,53.47,High
3,Ashok Vihar,Residential,2021,2,Feb,70.1,60.86,60.91,53.47,High
3,Ashok Vihar,Residential,2021,3,Mar,69.77,61.63,60.91,53.47,High
3,Ashok Vihar,Residential,2021,4,Apr,70.83,61.36,60.91,53.47,Critical
3,Ashok Vihar,Residential,2021,5,May,71.02,61.99,60.91,53.47,Critical
3,Ashok Vihar,Residential,2021,6,Jun,70.36,62.33,60.91,53.47,Critical
3,Ashok Vihar,Residential,2021,7,Jul,70.63,61.91,60.91,53.47,Critical
3,Ashok Vihar,Residential,2021,8,Aug,70.28,61.77,60.91,53.47,Critical
3,Ashok Vihar,Residential,2021,9,Sep,70.1,61.89,60.91,53.47,High
3,Ashok Vihar,Residential,2021,10,Oct,70.88,61.52,60.91,53.47,Critical
3,Ashok Vihar,Residential,2021,11,Nov,70.8,61.0,60.91,53.47,High
3,Ashok Vihar,Residential,2021,12,Dec,69.39,61.47,60.91,53.47,High
3,Ashok Vihar,Residential,2022,1,Jan,71.56,62.6,60.91,53.47,Critical
3,Ashok Vihar,Residential,2022,2,Feb,71.57,62.74,60.91,53.47,Critical
3,Ashok Vihar,Residential,2022,3,Mar,71.91,63.44,60.91,53.47,Critical
3,Ashok Vihar,Residential,2022,4,Apr,72.59,63.18,60.91,53.47,Critical
3,Ashok Vihar,Residential,2022,5,May,73.11,63.68,60.91,53.47,Critical
3,Ashok Vihar,Residential,2022,6,Jun,73.28,63.98,60.91,53.47,Critical
3,Ashok Vihar,Residential,2022,7,Jul,72.42,63.52,60.91,53.47,Critical
3,Ashok Vihar,Residential,2022,8,Aug,72.75,63.67,60.91,53.47,Critical
3,Ashok Vihar,Residential,2022,9,Sep,72.24,63.33,60.91,53.47,Critical
3,Ashok Vihar,Residential,2022,10,Oct,72.96,63.31,60.91,53.47,Critical
3,Ashok Vihar,Residential,2022,11,Nov,72.37,63.13,60.91,53.47,Critical
3,Ashok Vihar,Residential,2022,12,Dec,71.56,63.22,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,1,Jan,72.38,63.53,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,2,Feb,72.77,63.4,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,3,Mar,73.02,63.6,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,4,Apr,73.18,63.85,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,5,May,73.39,64.27,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,6,Jun,73.22,64.92,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,7,Jul,72.95,63.83,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,8,Aug,73.51,64.23,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,9,Sep,73.1,63.98,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,10,Oct,73.05,63.72,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,11,Nov,72.78,63.49,60.91,53.47,Critical
3,Ashok Vihar,Residential,2023,12,Dec,72.64,63.35,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,1,Jan,72.42,63.59,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,2,Feb,73.12,63.62,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,3,Mar,73.12,64.16,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,4,Apr,73.85,64.14,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,5,May,73.86,64.56,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,6,Jun,73.67,64.27,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,7,Jul,73.76,64.53,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,8,Aug,73.87,64.83,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,9,Sep,73.89,64.14,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,10,Oct,73.74,64.09,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,11,Nov,73.44,64.0,60.91,53.47,Critical
3,Ashok Vihar,Residential,2024,12,Dec,73.08,63.54,60.91,53.47,Critical
