S_No,Location,City,Zone_Type,DPCC_Day_Std_dB,DPCC_Night_Std_dB,Year,Month,Month_Name,Noise_Day_dB,Noise_Night_dB,Excess_Day_dB,Excess_Night_dB,Zone_Category
1,Karol Bagh,Delhi,Commercial,65,55,2020,1,Jan,69.62,60.87,4.62,5.87,High
1,Karol Bagh,Delhi,Commercial,65,55,2020,2,Feb,69.86,61.4,4.86,6.4,High
1,Karol Bagh,Delhi,Commercial,65,55,2020,3,Mar,70.24,61.45,5.24,6.45,High
1,Karol Bagh,Delhi,Commercial,65,55,2020,4,Apr,71.09,61.85,6.09,6.85,High
1,Karol Bagh,Delhi,Commercial,65,55,2020,5,May,70.88,62.01,5.88,7.01,High
1,Karol Bagh,Delhi,Commercial,65,55,2020,6,Jun,71.08,62.01,6.08,7.01,High
1,Karol Bagh,Delhi,Commercial,65,55,2020,7,Jul,70.86,61.42,5.86,6.42,High
1,Karol Bagh,Delhi,Commercial,65,55,2020,8,Aug,70.07,61.49,5.07,6.49,High
1,Karol Bagh,Delhi,Commercial,65,55,2020,9,Sep,70.05,61.56,5.05,6.56,High
1,Karol Bagh,Delhi,Commercial,65,55,2020,10,Oct,70.27,61.42,5.27,6.42,High
1,Karol Bagh,Delhi,Commercial,65,55,2020,11,Nov,70.57,61.35,5.57,6.35,High
1,Karol Bagh,Delhi,Commercial,65,55,2020,12,Dec,69.62,60.72,4.62,5.72,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,1,Jan,71.36,62.32,6.36,7.32,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,2,Feb,71.41,62.58,6.41,7.58,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,3,Mar,72.15,62.84,7.15,7.84,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,4,Apr,72.55,63.47,7.55,8.47,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,5,May,73.0,63.09,8.0,8.09,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,6,Jun,73.41,63.26,8.41,8.26,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,7,Jul,72.85,62.81,7.85,7.81,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,8,Aug,72.17,63.04,7.17,8.04,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,9,Sep,72.48,62.93,7.48,7.93,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,10,Oct,72.47,63.04,7.47,8.04,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,11,Nov,71.83,62.66,6.83,7.66,High
1,Karol Bagh,Delhi,Commercial,65,55,2021,12,Dec,71.48,62.61,6.48,7.61,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,1,Jan,72.99,63.15,7.99,8.15,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,2,Feb,73.18,63.62,8.18,8.62,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,3,Mar,73.53,64.22,8.53,9.22,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,4,Apr,74.36,64.49,9.36,9.49,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,5,May,74.19,64.44,9.19,9.44,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,6,Jun,74.68,64.9,9.68,9.9,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,7,Jul,74.08,64.36,9.08,9.36,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,8,Aug,73.62,63.96,8.62,8.96,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,9,Sep,73.9,64.37,8.9,9.37,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,10,Oct,73.88,64.5,8.88,9.5,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,11,Nov,73.69,63.87,8.69,8.87,High
1,Karol Bagh,Delhi,Commercial,65,55,2022,12,Dec,73.09,63.91,8.09,8.91,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,1,Jan,73.69,64.41,8.69,9.41,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,2,Feb,73.25,64.46,8.25,9.46,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,3,Mar,74.52,64.64,9.52,9.64,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,4,Apr,74.92,64.5,9.92,9.5,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,5,May,75.15,65.17,10.15,10.17,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,6,Jun,75.77,65.2,10.77,10.2,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,7,Jul,74.8,64.9,9.8,9.9,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,8,Aug,74.93,64.87,9.93,9.87,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,9,Sep,74.37,64.8,9.37,9.8,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,10,Oct,74.72,65.09,9.72,10.09,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,11,Nov,74.22,64.53,9.22,9.53,High
1,Karol Bagh,Delhi,Commercial,65,55,2023,12,Dec,73.7,63.91,8.7,8.91,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,1,Jan,74.67,64.85,9.67,9.85,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,2,Feb,74.8,64.95,9.8,9.95,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,3,Mar,75.05,65.32,10.05,10.32,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,4,Apr,75.71,65.44,10.71,10.44,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,5,May,76.06,65.88,11.06,10.88,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,6,Jun,76.77,66.03,11.77,11.03,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,7,Jul,75.96,65.69,10.96,10.69,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,8,Aug,75.12,65.49,10.12,10.49,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,9,Sep,75.42,65.89,10.42,10.89,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,10,Oct,75.55,65.66,10.55,10.66,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,11,Nov,75.29,65.07,10.29,10.07,High
1,Karol Bagh,Delhi,Commercial,65,55,2024,12,Dec,74.99,65.05,9.99,10.05,High
2,Anand Vihar,Delhi,Commercial,65,55,2020,1,Jan,68.1,59.22,3.1,4.22,Moderate
2,Anand Vihar,Delhi,Commercial,65,55,2020,2,Feb,68.45,59.32,3.45,4.32,Moderate
2,Anand Vihar,Delhi,Commercial,65,55,2020,3,Mar,68.85,60.44,3.85,5.44,High
2,Anand Vihar,Delhi,Commercial,65,55,2020,4,Apr,68.85,60.09,3.85,5.09,High
2,Anand Vihar,Delhi,Commercial,65,55,2020,5,May,69.42,60.3,4.42,5.3,High
2,Anand Vihar,Delhi,Commercial,65,55,2020,6,Jun,69.21,60.61,4.21,5.61,High
2,Anand Vihar,Delhi,Commercial,65,55,2020,7,Jul,68.93,60.39,3.93,5.39,High
2,Anand Vihar,Delhi,Commercial,65,55,2020,8,Aug,68.67,60.41,3.67,5.41,High
2,Anand Vihar,Delhi,Commercial,65,55,2020,9,Sep,68.5,59.94,3.5,4.94,Moderate
2,Anand Vihar,Delhi,Commercial,65,55,2020,10,Oct,69.1,59.95,4.1,4.95,Moderate
2,Anand Vihar,Delhi,Commercial,65,55,2020,11,Nov,68.66,60.16,3.66,5.16,High
2,Anand Vihar,Delhi,Commercial,65,55,2020,12,Dec,67.6,59.54,2.6,4.54,Moderate
2,Anand Vihar,Delhi,Commercial,65,55,2021,1,Jan,69.96,60.96,4.96,5.96,High
2,Anand Vihar,Delhi,Commercial,65,55,2021,2,Feb,69.79,60.74,4.79,5.74,High
2,Anand Vihar,Delhi,Commercial,65,55,2021,3,Mar,70.83,61.46,5.83,6.46,High
2,Anand Vihar,Delhi,Commercial,65,55,2021,4,Apr,71.16,61.67,6.16,6.67,High
2,Anand Vihar,Delhi,Commercial,65,55,2021,5,May,71.23,61.85,6.23,6.85,High
2,Anand Vihar,Delhi,Commercial,65,55,2021,6,Jun,71.67,61.86,6.67,6.86,High
2,Anand Vihar,Delhi,Commercial,65,55,2021,7,Jul,71.67,61.79,6.67,6.79,High
2,Anand Vihar,Delhi,Commercial,65,55,2021,8,Aug,70.6,61.63,5.6,6.63,High
2,Anand Vihar,Delhi,Commercial,65,55,2021,9,Sep,70.46,61.56,5.46,6.56,High
2,Anand Vihar,Delhi,Commercial,65,55,2021,10,Oct,71.19,61.44,6.19,6.44,High
2,Anand Vihar,Delhi,Commercial,65,55,2021,11,Nov,70.84,61.38,5.84,6.38,High
2,Anand Vihar,Delhi,Commercial,65,55,2021,12,Dec,70.21,61.28,5.21,6.28,High
2,Anand Vihar,Delhi,Commercial,65,55,2022,1,Jan,71.24,61.85,6.24,6.85,High
2,Anand Vihar,Delhi,Commercial,65,55,2022,2,Feb,71.28,62.04,6.28,7.04,High
2,Anand Vihar,Delhi,Commercial,65,55,2022,3,Mar,72.08,62.67,7.08,7.67,High
2,Anand Vihar,Delhi,Commercial,65,55,2022,4,Apr,72.57,62.97,7.57,7.97,High
2,Anand Vihar,Delhi,Commercial,65,55,2022,5,May,72.8,63.29,7.8,8.29,High
