Location,Jun2008_Day,Jun2008_Night,Jul2008_Day,Jul2008_Night,Aug2008_Day,Aug2008_Night,Sep2008_Day,Sep2008_Night,Oct2008_Day,Oct2008_Night,Nov2008_Day,Nov2008_Night,Dec2008_Day,Dec2008_Night,Jan2009_Day,Jan2009_Night,Avg_Day_Noise,Avg_Night_Noise,Overall_Avg_Noise,Max_Noise,Min_Noise,Noise_Range,Day_Night_Diff,Noise_Std,Day_Std,Night_Std,Standard_Zone,Zone_Category,Latitude,Longitude
Adarsh Nagar,62.3,53,61.6,52.2,62.9,52.4,62.7,55.1,63.4,55.8,59.1,47.1,61.2,52.5,60.5,51,61.7125,52.3875,57.05,63.4,47.1,16.3,9.325,5.236283669,1.421706721,2.654073688,High,Low,28.7165805,77.1704223
Anand Vihar,63.1,57.5,62.5,55.9,63,56,64.3,54.4,62.7,53.9,62,56,61.6,52.7,60.4,53.3,62.45,54.9625,58.70625,64.3,52.7,11.6,7.4875,4.101945677,1.155112858,1.63876042,High,High,28.646841,77.3160332
Ashok Vihar,61.7,52.6,61.3,62.2,60.2,51.5,61.4,55.1,62.375,54.415,61.3,50.9,60.4,51.9,60.1,50.1,61.096875,53.589375,57.343125,62.375,50.1,12.275,7.5075,4.723128157,0.797813698,3.867692591,High,Moderate,28.6885171,77.1739339
Badli,58.7,49.1,57.1,50.9,57.4,50.6,63,55.8,62.375,54.415,61.4,57.2,59.6,51,60.6,54,60.021875,52.876875,56.449375,63,49.1,13.9,7.145,4.441635162,2.203140514,2.872056179,High,Low,28.7465404,77.1374615
Braham Puri,59.6,54,57.7,53.6,56.6,51.5,59,54.2,62.375,54.415,59.6,52.2,60.4,54.6,59.9,53.7,59.396875,53.526875,56.461875,62.375,51.5,10.875,5.87,3.34085412,1.734957672,1.103335649,High,Low,28.675,77.27
Daryaganj,64,57.4,62.3,52.5,63.7,56.8,62.2,53.4,62.375,54.415,62.1,52.5,62.8,56.2,60.6,55.8,62.509375,54.876875,58.693125,64,52.5,11.5,7.6325,4.219605777,1.048462948,1.940579695,High,High,28.64609,77.243048
Defence Colony,60.1,53.8,60.9,55.2,60,54.3,63,57.1,64,57.4,61.6,55.6,60.3,54.3,59.8,53.7,61.2125,55.175,58.19375,64,53.7,10.3,6.0375,3.435009704,1.546828553,1.436016315,High,High,28.5713575,77.2330402
Dwaraka,60.9,52.3,59.2,51.3,61.2,52.1,62.9,55.9,62.375,54.415,59,51.1,59.3,55.8,58.1,54.5,60.371875,53.426875,56.899375,62.9,51.1,11.8,6.945,4.005919318,1.729339134,1.958295428,High,Low,28.5921,77.046
Greater Kailash,63.1,62.2,61.8,56,63.9,62.6,62.7,57,61.5,55.9,61.7,53.1,62.8,55.5,59.2,49.7,62.0875,56.5,59.29375,63.9,49.7,14.2,5.5875,4.229652271,1.419695641,4.298837052,High,Critical,28.5419077,77.2384925
Inder Puri,59.4,55.9,59.1,53.8,59.6,54.6,62,57.9,62.375,54.415,60.6,55.2,61.7,53.3,60.2,53.1,60.621875,54.776875,57.699375,62.375,53.1,9.275,5.845,3.317899373,1.263034717,1.572257107,High,Moderate,28.729945,77.1707212
Janak Puri,62.7,55.1,61.9,55.6,61.2,53.9,62.9,56.1,62.375,54.415,62.5,60.5,62.8,57.6,59.4,53.1,61.971875,55.789375,58.880625,62.9,53.1,9.8,6.1825,3.664194716,1.179242909,2.353335684,High,Critical,28.6280473,77.089447
Karawal Nagar,62.2,53.2,62.4,52.9,61.4,52.5,63.9,57.7,62.9,56.3,60.5,54.7,63,61.2,61.2,60.8,62.1875,56.1625,59.175,63.9,52.5,11.4,6.025,3.983549506,1.107684199,3.469021064,High,Critical,28.7311406,77.2747898
Karol Bagh,62.9,61.3,62.4,60.6,62,61,62.9,54.4,62.375,54.415,61.8,56.4,62.8,54.9,64,57.4,62.646875,57.551875,60.099375,64,54.4,9.6,5.095,3.371200021,0.681704468,3.009169246,High,Critical,28.6529982,77.1890227
Kondli,60,50.3,60.1,51.1,60.4,54.2,62.4,56.8,62.2,54.7,62.2,54,64.4,54,60.8,48.3,61.5625,52.925,57.24375,64.4,48.3,16.1,8.6375,4.954589623,1.515573913,2.770121194,High,Moderate,28.6070816,77.3243319
