S_No,Location,City,Zone_Type,CPCB_Day_Std_dB,CPCB_Night_Std_dB,Year,Month,Month_Name,Noise_Day_dB,Noise_Night_dB,Excess_Day_dB,Excess_Night_dB,Zone_Category
1,Santacruz (W),Mumbai,Commercial,65,55,2020,1,Jan,74.15,65.77,9.15,10.77,High
1,Santacruz (W),Mumbai,Commercial,65,55,2020,2,Feb,73.99,65.9,8.99,10.9,High
1,Santacruz (W),Mumbai,Commercial,65,55,2020,3,Mar,73.93,65.65,8.93,10.65,High
1,Santacruz (W),Mumbai,Commercial,65,55,2020,4,Apr,74.77,66.05,9.77,11.05,High
1,Santacruz (W),Mumbai,Commercial,65,55,2020,5,May,74.36,66.21,9.36,11.21,High
1,Santacruz (W),Mumbai,Commercial,65,55,2020,6,Jun,72.86,64.91,7.86,9.91,High
1,Santacruz (W),Mumbai,Commercial,65,55,2020,7,Jul,72.77,64.42,7.77,9.42,High
1,Santacruz (W),Mumbai,Commercial,65,55,2020,8,Aug,72.38,64.79,7.38,9.79,High
1,Santacruz (W),Mumbai,Commercial,65,55,2020,9,Sep,72.9,65.26,7.9,10.26,High
1,Santacruz (W),Mumbai,Commercial,65,55,2020,10,Oct,73.43,65.22,8.43,10.22,High
1,Santacruz (W),Mumbai,Commercial,65,55,2020,11,Nov,74.34,65.65,9.34,10.65,High
1,Santacruz (W),Mumbai,Commercial,65,55,2020,12,Dec,74.12,65.52,9.12,10.52,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,1,Jan,76.64,68.12,11.64,13.12,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,2,Feb,76.25,67.98,11.25,12.98,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,3,Mar,76.62,67.94,11.62,12.94,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,4,Apr,76.92,68.57,11.92,13.57,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,5,May,77.3,68.19,12.3,13.19,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,6,Jun,76.05,67.06,11.05,12.06,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,7,Jul,75.56,66.71,10.56,11.71,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,8,Aug,75.3,67.24,10.3,12.24,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,9,Sep,76.22,67.53,11.22,12.53,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,10,Oct,76.47,67.74,11.47,12.74,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,11,Nov,76.26,67.86,11.26,12.86,High
1,Santacruz (W),Mumbai,Commercial,65,55,2021,12,Dec,76.76,68.31,11.76,13.31,High
1,Santacruz (W),Mumbai,Commercial,65,55,2022,1,Jan,79.3,69.65,14.3,14.65,High
1,Santacruz (W),Mumbai,Commercial,65,55,2022,2,Feb,79.1,69.72,14.1,14.72,High
1,Santacruz (W),Mumbai,Commercial,65,55,2022,3,Mar,79.0,70.02,14.0,15.02,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2022,4,Apr,79.81,70.29,14.81,15.29,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2022,5,May,79.45,70.24,14.45,15.24,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2022,6,Jun,78.3,69.4,13.3,14.4,High
1,Santacruz (W),Mumbai,Commercial,65,55,2022,7,Jul,77.76,68.96,12.76,13.96,High
1,Santacruz (W),Mumbai,Commercial,65,55,2022,8,Aug,77.77,68.86,12.77,13.86,High
1,Santacruz (W),Mumbai,Commercial,65,55,2022,9,Sep,78.64,69.67,13.64,14.67,High
1,Santacruz (W),Mumbai,Commercial,65,55,2022,10,Oct,78.88,69.9,13.88,14.9,High
1,Santacruz (W),Mumbai,Commercial,65,55,2022,11,Nov,79.21,69.77,14.21,14.77,High
1,Santacruz (W),Mumbai,Commercial,65,55,2022,12,Dec,79.41,70.31,14.41,15.31,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2023,1,Jan,80.49,71.31,15.49,16.31,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2023,2,Feb,79.51,70.96,14.51,15.96,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2023,3,Mar,80.53,70.84,15.53,15.84,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2023,4,Apr,80.83,70.7,15.83,15.7,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2023,5,May,80.93,71.37,15.93,16.37,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2023,6,Jun,79.94,70.1,14.94,15.1,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2023,7,Jul,78.96,69.9,13.96,14.9,High
1,Santacruz (W),Mumbai,Commercial,65,55,2023,8,Aug,79.67,70.17,14.67,15.17,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2023,9,Sep,79.54,70.5,14.54,15.5,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2023,10,Oct,80.23,70.89,15.23,15.89,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2023,11,Nov,80.19,70.83,15.19,15.83,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2023,12,Dec,80.48,70.71,15.48,15.71,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,1,Jan,81.29,71.65,16.29,16.65,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,2,Feb,81.0,71.35,16.0,16.35,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,3,Mar,80.78,71.42,15.78,16.42,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,4,Apr,81.4,71.54,16.4,16.54,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,5,May,81.65,71.98,16.65,16.98,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,6,Jun,80.77,70.83,15.77,15.83,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,7,Jul,79.98,70.59,14.98,15.59,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,8,Aug,79.52,70.69,14.52,15.69,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,9,Sep,80.42,71.49,15.42,16.49,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,10,Oct,80.84,71.36,15.84,16.36,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,11,Nov,81.09,71.27,16.09,16.27,Critical
1,Santacruz (W),Mumbai,Commercial,65,55,2024,12,Dec,81.64,71.75,16.64,16.75,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,1,Jan,75.54,66.92,10.54,11.92,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,2,Feb,75.52,66.62,10.52,11.62,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,3,Mar,75.48,67.44,10.48,12.44,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,4,Apr,75.3,67.09,10.3,12.09,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,5,May,75.83,67.3,10.83,12.3,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,6,Jun,73.83,66.31,8.83,11.31,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,7,Jul,73.68,66.19,8.68,11.19,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,8,Aug,73.92,66.51,8.92,11.51,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,9,Sep,74.27,66.44,9.27,11.44,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,10,Oct,75.24,66.55,10.24,11.55,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,11,Nov,75.27,67.26,10.27,12.26,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2020,12,Dec,74.92,67.14,9.92,12.14,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,1,Jan,78.18,69.56,13.18,14.56,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,2,Feb,77.53,68.94,12.53,13.94,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,3,Mar,78.26,69.36,13.26,14.36,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,4,Apr,78.48,69.57,13.48,14.57,High
